bill_id,title,proposer,party,committee,propose_date,status,link,summary,core_change,impact_direction,impact_detail,affected_occ,affected_age,affected_social,affected_region,keywords,urgency,analyzed_at,parse_failed
PRC_G2E6C0D4C2C3K1J4J0H8I1G6H0P8N0,도시 및 주거환경정비법 일부개정법률안,김희정의원 등 10인,,,2026-06-10,,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_G2E6C0D4C2C3K1J4J0H8I1G6H0P8N0&ageFrom=22&ageTo=22,"재건축 사업을 할 때 근처에 이미 큰 공원이 있다면, 새로운 공원을 만드는 대신 그만큼의 비용을 현금으로 내는 것을 허용하여 사업 효율성을 높이는 법안입니다.","정비구역 인근에 일정 규모 이상의 도시공원이나 녹지가 있는 경우, 공원 조성 의무를 현금 납부로 대체할 수 있도록 규정을 신설합니다.",positive,재건축 사업의 비용 부담을 줄이고 사업 추진 속도를 높이는 데 기여할 수 있습니다.,건설·생산 관련 관리직|법률·행정 전문직|공학 전문가 및 기술직,,자가소유자|대기업,서울|수도권|도심,재건축|도시공원|현금납부,,2026-06-11T13:05:24.434064,0
PRC_V2U6S0T4O2P7O1O3M3N9M5T7U5S2T0,자동차관리법 일부개정법률안,손명수의원 등 10인,,,2026-06-10,,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_V2U6S0T4O2P7O1O3M3N9M5T7U5S2T0&ageFrom=22&ageTo=22,"렌터카나 리스 차량에 결함이 생겼을 때, 렌터카 업체도 제조사에 교환이나 환불을 요구할 수 있게 하고, 자동차 결함이 제조상 문제가 아니라는 것을 제조사가 직접 증명하도록 하여 이용자의 권리를 강화하는 법안입니다.","자동차대여사업자에게도 자동차 교환·환불 요청 권한을 부여하며, 결함과 제조상 결함 사이의 인과관계 입증 책임을 자동차 제조사가 부담하도록 합니다.",positive,"렌터카 및 리스 이용자의 권익이 보호되고, 결함 입증에 대한 소비자 및 사업자의 부담이 줄어듭니다.",판매·고객서비스 관리직|운송·여가 서비스직|공학 전문가 및 기술직|법률·행정 전문직,청년(19~34)|중장년(35~59)|노년(60+),중소기업,,자동차 교환·환불|렌터카 권리|입증책임 전환|소비자 보호,,2026-06-11T13:06:38.258633,0
PRC_I2J6H0I4G2O3P1N4N0M9M1L9T7T9S5,도시개발법 일부개정법률안,김희정의원 등 10인,,,2026-06-10,,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2J6H0I4G2O3P1N4N0M9M1L9T7T9S5&ageFrom=22&ageTo=22,"도시개발 시 주변에 이미 공원이 충분하다면, 직접 녹지를 조성하는 대신 비용을 내는 방식으로 의무를 대신할 수 있게 하여 효율적인 개발과 주택 공급을 촉진하려는 법안입니다.","주변 지역에 녹지가 충분한 경우, 도시개발 시 공원·녹지 확보 의무를 현금 납부로 대체할 수 있도록 규정을 신설합니다.",mixed,"도시개발의 효율성과 주택 공급 확대에는 긍정적이나, 개발 구역 내 녹지 면적이 줄어들 우려가 있습니다.",건설·생산 관련 관리직|공학 전문가 및 기술직|법률·행정 전문직,청년(19~34)|중장년(35~59),자가소유자|중소기업|대기업,수도권|도심|지방중소도시,도시개발|공원녹지|주택공급|비용납부,,2026-06-11T13:07:36.970825,0
PRC_V2R6Q0A5A2H6F1E4N0M4I0R5R9L5U3,중소기업 인공지능 활용ㆍ확산 촉진에 관한 특별법안,이철규의원 등 11인,,,2026-06-10,,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_V2R6Q0A5A2H6F1E4N0M4I0R5R9L5U3&ageFrom=22&ageTo=22,"중소기업과 소상공인이 인공지능(AI)을 쉽게 도입하고 활용할 수 있도록 정부가 자금, 기술, 데이터, 인력을 종합적으로 지원하는 법안입니다.","AI 도입에 필요한 금융·세제 혜택, 전문 인력 양성, 규제 개선 및 지역별 혁신 생태계 구축을 위한 체계적인 국가적 지원 근거를 마련합니다.",positive,중소기업의 AI 기술 격차를 해소하고 디지털 전환을 통한 경영 혁신과 경쟁력 강화를 기대할 수 있습니다.,공공·기업 고위직|과학 전문가 및 관련직|정보통신 전문가 및 기술직|공학 전문가 및 기술직|경영·금융 전문가 및 관련직|경영·회계 관련 사무직|기타 사무직,청년(19~34)|중장년(35~59),중소기업,수도권|비수도권|지방중소도시,중소기업|인공지능(AI)|디지털 전환|자금 지원|규제 개선,,2026-06-11T13:08:47.899325,0
PRC_E2E6D0D4C3C0A0J9J3H4I4G2H5F6N2,지방의회공제회법안,이광희의원 등 10인,,,2026-06-10,,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_E2E6D0D4C3C0A0J9J3H4I4G2H5F6N2&ageFrom=22&ageTo=22,지방의원과 지방의회 사무직원의 생활 안정 및 복지 증진을 위해 별도의 '지방의회공제회'를 설립하여 독자적인 복지 체계를 구축하려는 법안입니다.,기존 대한지방행정공제회와 분리된 지방의회만의 독립적인 공제회를 설립하여 의원과 사무국 직원을 위한 맞춤형 복지 제도를 운영합니다.,positive,사회보장 사각지대에 놓인 지방의원과 사무직 공무원의 복지 혜택을 강화하고 지방의회의 독립성을 높일 수 있습니다.,법률·행정 전문직|기타 사무직,청년(19~34)|중장년(35~59)|노년(60+),,수도권|비수도권|농어촌|도심|지방중소도시,지방의회|공제회 설립|복지 증진,,2026-06-11T13:09:47.676235,0
PRC_F2F6D0E4M2K4L2J0K0I7J1E3F7E9C5,모자보건법 일부개정법률안,안철수의원 등 10인,,,2026-06-10,,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_F2F6D0E4M2K4L2J0K0I7J1E3F7E9C5&ageFrom=22&ageTo=22,"임신 전 건강검진 비용 지원을 받기 위해 반드시 미리 신청해야 했던 불편함을 없애고, 검사를 먼저 받은 후 일정 기간 내에 신청하더라도 소급하여 지원받을 수 있도록 제도를 개선하는 내용입니다.","기존의 '사전 신청 필수' 원칙을 완화하여, 검사 후 일정 기간 이내라면 사후 신청 시에도 지원금을 받을 수 있게 됩니다.",positive,사전 신청을 놓쳐 혜택을 받지 못했던 사례를 방지하고 지원의 실효성을 높일 수 있습니다.,,청년(19~34)|중장년(35~59),여성|임신·육아,서울|수도권|비수도권|농어촌|도심|지방중소도시,임신 사전 건강관리|난임 지원|소급 적용,,2026-06-11T13:10:50.732160,0
PRC_G2F6F0N5N1M5K1L3J1K0S4S9R9P7P7,국가공무원법 일부개정법률안,이훈기의원 등 11인,,,2026-06-10,,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_G2F6F0N5N1M5K1L3J1K0S4S9R9P7P7&ageFrom=22&ageTo=22,"성희롱·성폭력 사건을 심의하는 공무원 징계위원회에 관련 분야 전문가가 반드시 참여하도록 법으로 정하여, 더욱 전문적이고 공정한 징계가 이루어지도록 하는 법안입니다.","징계위원회 구성 시 성희롱·성폭력 전문가를 포함하도록 명시하고, 관련 사건 심의 시에는 해당 분야 전문가가 위원회의 과반수를 차지하도록 합니다.",positive,성비위 사건에 대한 전문성을 높여 2차 피해를 방지하고 공직 사회의 신뢰를 회복할 수 있습니다.,법률·행정 전문직,,여성,,공무원 징계|성비위 전문성|피해자 보호,,2026-06-11T13:11:46.762503,0
PRC_V2W6U0U5C1B5B1A3B0Z9Z0H5F5G8F0,의료·요양 등 지역 돌봄의 통합지원에 관한 법률 일부개정법률안,이훈기의원 등 10인,,,2026-06-10,,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_V2W6U0U5C1B5B1A3B0Z9Z0H5F5G8F0&ageFrom=22&ageTo=22,"약을 여러 개 복용하는 어르신이나 장애인이 약을 안전하게 사용할 수 있도록, 약사가 단순히 사용법을 알려주는 것을 넘어 의약품의 적정한 사용과 지속적인 관리를 돕는 서비스를 제공할 수 있게 하는 내용입니다.",약사의 보건의료 서비스 범위를 단순 복약지도에서 의약품의 적정한 사용 및 지속적 관리 지원까지 확대합니다.,positive,다제약물 복용으로 인한 약물 오남용과 중복 처방 문제를 예방하여 의약품 안전관리를 강화할 수 있습니다.,보건 전문가 및 관련직|사회복지·종교 전문가 및 관련직|돌봄·보건 서비스직,중장년(35~59)|노년(60+),취약계층|장애인,,의약품 안전관리|다제약물 관리|복약지도 확대,,2026-06-11T13:12:51.125840,0
PRC_V2U6Q0P3M1U8S1W3W5T3B0A6Z0Y4H7,공공주택 특별법 일부개정법률안,문진석의원 등 12인,,,2026-06-10,,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_V2U6Q0P3M1U8S1W3W5T3B0A6Z0Y4H7&ageFrom=22&ageTo=22,"주민들이 일정 비율 이상 동의하여 후보지 선정을 요청하면, 지자체장이 이를 거절하지 못하고 반드시 지정권자에게 신청하도록 하여 주민 의사를 사업에 반영하는 법안입니다.",지자체장의 재량이었던 복합지구 후보지 선정 요청 권한을 주민의 일정 비율 이상 요청 시 의무화로 변경합니다.,positive,주민의 참여권을 보장하고 지역 개발 과정의 투명성과 공정성을 높일 수 있습니다.,법률·행정 전문직,청년(19~34)|중장년(35~59)|노년(60+),세입자|자가소유자,서울|수도권|도심,주민 참여|공공주택|복합지구,,2026-06-11T13:13:53.296450,0
PRC_J2H6G0G5C1D1B1Z3A5Y3Z0H3H7G2E6,전기사업법 일부개정법률안,정진욱의원 등 11인,,,2026-06-10,,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_J2H6G0G5C1D1B1Z3A5Y3Z0H3H7G2E6&ageFrom=22&ageTo=22,"산업위기 지역의 철강 및 석유화학 기업을 위해 전기요금 부담을 줄여주고, 전력산업기반기금 면제 혜택을 제공하여 지역 경제와 일자리를 보호하려는 법안입니다.",산업위기 대응 지역 내 철강·석유화학 기업에 대해 전기요금 감면 약관 도입과 전력산업기반기금 부담금 면제 근거를 마련합니다.,positive,에너지 다소비 업종의 비용 부담을 낮춰 기업 경쟁력을 유지하고 지역 경제 침체를 방지하는 데 도움이 됩니다.,화학 관련 장치·기계 조작직|금속·비금속 장치·기계 조작직|제조 관련 단순 노무직,,중소기업,비수도권|지방중소도시,전기요금 감면|산업위기 지역|철강·석유화학 산업,,2026-06-11T13:14:58.571529,0
